platform,title,link,price,location,price_clean
krisha,2-комнатная квартира · 92 м² · 13/16 этаж,https://krisha.kz/a/show/1005309983?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=580,40 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жуалы 14",40000000
krisha,1-комнатная квартира · 47 м² · 6 этаж,https://krisha.kz/a/show/1004988172?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=581,24 000 000 〒,"Турксибский р-н, Кульджинский тракт 153/64 — Бухтарминская",24000000
krisha,2-комнатная квартира · 74.4 м² · 35/43 этаж,https://krisha.kz/a/show/1004424674?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=582,35 000 000 〒,"Есильский р-н, Достык 5/1 — ТЦ Керуен",35000000
krisha,2-комнатная квартира · 72 м² · 2/9 этаж,https://krisha.kz/a/show/1005787699?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=583,25 200 000 〒,мкр. Алтын орда 2,25200000
krisha,3-комнатная квартира · 100 м² · 1/14 этаж,https://krisha.kz/a/show/691063006?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=584,35 000 000 〒,16-й мкр  70/2,35000000
krisha,2-комнатная квартира · 44.8 м² · 5/5 этаж,https://krisha.kz/a/show/1001623995?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=585,13 000 000 〒,Островского 4,13000000
krisha,3-комнатная квартира · 62 м² · 4/5 этаж,https://krisha.kz/a/show/1005235131?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=586,15 000 000 〒,Мкр. Самал 1 — Находится возле нурислам,15000000
krisha,2-комнатная квартира · 85 м² · 5/10 этаж,https://krisha.kz/a/show/683683858?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=587,75 000 000 〒,"Медеуский р-н, Назарбаева 36/2",75000000
krisha,1-комнатная квартира · 30.8 м² · 5/5 этаж,https://krisha.kz/a/show/1005756869?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=588,10 500 000 〒,"Алихана Бокейханова р-н, Майкудук, Майкудук, 19й микрорайон 40",10500000
krisha,4-комнатная квартира · 170 м² · 6/9 этаж,https://krisha.kz/a/show/1004189193?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=589,170 000 000 〒,"Нура р-н, Туран 3,",170000000
